City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
318,Lompoc,US,34.6391,-120.4579,79.79,42,0,18.41,clear sky
319,Pevek,RU,69.7008,170.3133,-24.14,99,23,0.4,few clouds
320,Hanzhong,CN,33.0728,107.0303,29.73,87,81,1.3,broken clouds
321,Japura,ID,-0.3167,102.35,72.09,98,100,2.77,overcast clouds
322,Yoichi,JP,43.2039,140.7703,26.64,79,95,7.58,overcast clouds
323,Bend,US,44.0582,-121.3153,62.46,17,0,3.0,clear sky
324,Umred,IN,20.85,79.3333,55.69,26,11,3.11,few clouds
325,Campbellton,CA,48.0075,-66.6727,7.25,94,96,2.04,overcast clouds
326,Manavalakurichi,IN,8.1333,77.3,78.89,79,78,5.64,broken clouds
327,Sibolga,ID,1.7427,98.7792,74.71,88,98,3.53,overcast clouds
328,Egvekinot,RU,66.3167,-179.1667,-12.3,81,1,7.76,clear sky
329,Baryatino,RU,54.3121,34.521,28.4,95,100,11.18,snow
330,Uniara,IN,26.15,75.2167,57.7,40,0,1.99,clear sky
331,Sergeyevka,KZ,53.88,67.4158,1.85,88,34,6.02,scattered clouds
332,Vila Velha,BR,-20.3297,-40.2925,80.55,85,40,5.01,scattered clouds
333,Wanning,CN,18.8003,110.3967,70.45,92,97,5.7,overcast clouds
334,Bosaso,SO,11.2842,49.1816,71.74,74,85,1.48,overcast clouds
335,Cayenne,GF,4.9333,-52.3333,80.1,87,40,4.0,moderate rain
336,Vardo,NO,70.3705,31.1107,23.2,81,78,19.82,broken clouds
337,Loandjili,CG,-4.7561,11.8578,77.22,89,94,5.55,overcast clouds
338,Kahului,US,20.8947,-156.47,83.46,65,0,18.41,clear sky
339,Lora Del Rio,ES,37.659,-5.5275,56.68,78,8,5.73,clear sky
340,Nara,JP,34.6851,135.8049,36.68,62,38,3.53,scattered clouds
341,Sao Filipe,CV,14.8961,-24.4956,73.02,75,0,5.82,clear sky
342,Henties Bay,NA,-22.116,14.2845,68.86,80,93,3.74,light rain
343,Zabol,AF,32.25,67.25,33.24,54,0,9.42,clear sky
344,Nuqui,CO,5.7125,-77.2708,84.9,79,54,3.09,broken clouds
